nummer,namn,naringsnamn,gruppering,mangd,enhet
3,Gris ister,Vatten,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,Tiamin,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
3,Gris ister,Tillsatt socker,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,Fritt socker,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,"Selen, Se","Övrigt fett (ister, talg, kokosfett)",7.0,µg
3,Gris ister,Sackaros,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,Riboflavin,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
3,Gris ister,Retinol,"Övrigt fett (ister, talg, kokosfett)",9.0,µg
3,Gris ister,Protein,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,Summa fleromättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",9.4,g
3,Gris ister,"Fosfor, P","Övrigt fett (ister, talg, kokosfett)",3.0,mg
3,Gris ister,Niacinekvivalenter,"Övrigt fett (ister, talg, kokosfett)",0.0,NE/mg
3,Gris ister,Niacin,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
3,Gris ister,"Salt, NaCl","Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,"Natrium, Na","Övrigt fett (ister, talg, kokosfett)",2.0,mg
3,Gris ister,Monosackarider,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,"Sockerarter, totalt","Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,Summa enkelomättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",37.5,g
3,Gris ister,"Magnesium, Mg","Övrigt fett (ister, talg, kokosfett)",1.0,mg
3,Gris ister,Summa mättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",48.8,g
3,Gris ister,"Kolhydrater, tillgängliga","Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,Kolesterol,"Övrigt fett (ister, talg, kokosfett)",95.0,mg
3,Gris ister,"Kalium, K","Övrigt fett (ister, talg, kokosfett)",1.0,mg
3,Gris ister,"Jod, I","Övrigt fett (ister, talg, kokosfett)",0.0,µg
3,Gris ister,Fullkorn totalt,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,"Folat, totalt","Övrigt fett (ister, talg, kokosfett)",0.0,µg
3,Gris ister,Fibrer,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,"Fett, totalt","Övrigt fett (ister, talg, kokosfett)",100.0,g
3,Gris ister,"Järn, Fe","Övrigt fett (ister, talg, kokosfett)",0.1,mg
3,Gris ister,Energi (kJ),"Övrigt fett (ister, talg, kokosfett)",3700.0,kJ
3,Gris ister,Energi (kcal),"Övrigt fett (ister, talg, kokosfett)",884.0,kcal
3,Gris ister,Disackarider,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,"Kalcium, Ca","Övrigt fett (ister, talg, kokosfett)",1.0,mg
3,Gris ister,Fettsyra 4:0-10:0,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,DHA (C22:6),"Övrigt fett (ister, talg, kokosfett)",0.3,g
3,Gris ister,DPA (C22:5),"Övrigt fett (ister, talg, kokosfett)",0.2,g
3,Gris ister,EPA (C20:5),"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,Arakidonsyra C20:4,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,Arakidinsyra C20:0,"Övrigt fett (ister, talg, kokosfett)",0.2,g
3,Gris ister,Linolensyra C18:3,"Övrigt fett (ister, talg, kokosfett)",0.7,g
3,Gris ister,Linolsyra C18:2,"Övrigt fett (ister, talg, kokosfett)",7.9,g
3,Gris ister,Oljesyra C18:1,"Övrigt fett (ister, talg, kokosfett)",34.1,g
3,Gris ister,Stearinsyra C18:0,"Övrigt fett (ister, talg, kokosfett)",20.0,g
3,Gris ister,Palmitoljesyra C16:1,"Övrigt fett (ister, talg, kokosfett)",2.0,g
3,Gris ister,Palmitinsyra C16:0,"Övrigt fett (ister, talg, kokosfett)",26.7,g
3,Gris ister,Myristinsyra C14:0,"Övrigt fett (ister, talg, kokosfett)",1.5,g
3,Gris ister,Laurinsyra C12:0,"Övrigt fett (ister, talg, kokosfett)",0.1,g
3,Gris ister,Betakaroten/β-Karoten,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
3,Gris ister,Avfall (skal etc.),"Övrigt fett (ister, talg, kokosfett)",0.0,%
3,Gris ister,Aska,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,Alkohol,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,"Zink, Zn","Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Vitamin E,"Övrigt fett (ister, talg, kokosfett)",11.0,mg
4,Kokosfett,Vitamin D inkl 25-OH-D3,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
4,Kokosfett,Vitamin D,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
4,Kokosfett,Vitamin C,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Vitamin B6,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Vitamin B12,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
4,Kokosfett,Vitamin A,"Övrigt fett (ister, talg, kokosfett)",0.0,RE/µg
4,Kokosfett,Vatten,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Tiamin,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Tillsatt socker,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Fritt socker,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,"Selen, Se","Övrigt fett (ister, talg, kokosfett)",0.0,µg
4,Kokosfett,Sackaros,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Riboflavin,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Retinol,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
4,Kokosfett,Protein,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Summa fleromättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",1.8,g
4,Kokosfett,"Fosfor, P","Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Niacinekvivalenter,"Övrigt fett (ister, talg, kokosfett)",0.0,NE/mg
4,Kokosfett,Niacin,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,"Salt, NaCl","Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,"Natrium, Na","Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Monosackarider,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,"Sockerarter, totalt","Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Summa enkelomättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",7.3,g
4,Kokosfett,"Magnesium, Mg","Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Summa mättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",90.6,g
4,Kokosfett,"Kolhydrater, tillgängliga","Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Kolesterol,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,"Kalium, K","Övrigt fett (ister, talg, kokosfett)",0.0,mg
