,Livsmedelsnamn,Livsmedelsnummer,Gruppering,Näringsämne,Värde
82200,Kex bokstavskex fullkorn berikad,6819,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82201,Vitlökssås fetthalt ≥ 40%,6829,Rätter,DHA (C22:6) (g),0.0
82202,Sött vetebröd saffransbröd,6833,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82203,Pommes frites klyftpotatis frysvara,6843,Rätter,DHA (C22:6) (g),0.0
82204,Sojaprotein kebab frysvara typ Oumph®,6849,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82205,Sojaprotein pulled sojaprotein frysvara typ Oumph®,6850,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82206,Sojaprotein bitar m. timjan vitlök frysvara typ Oumph®,6852,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82207,Rismål u. sylt,6855,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82208,Rismål u. sylt u. socker m. sötningsm.,6856,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82209,Chips linser smaksatta fett 17%,6857,Snacks,DHA (C22:6) (g),0.0
82210,Linsbågar fett 28%,6858,Snacks,DHA (C22:6) (g),0.0
82211,Frukostflingor ris glutenfri berikad typ Specialflingor,6862,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82212,Frukostflingor granola glutenfri,6863,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82213,Frukostflingor majs glutenfri berikad,6864,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82214,Mjölblandning ljus glutenfri,6865,Mjöl,DHA (C22:6) (g),0.0
82215,Bovetemjöl grovt,6868,Mjöl,DHA (C22:6) (g),0.0
82216,Teffmjöl,6869,Mjöl,DHA (C22:6) (g),0.0
82217,Våffelmix glutenfri,6870,Mjöl,DHA (C22:6) (g),0.0
82218,Våffla glutenfri,6871,Rätter,DHA (C22:6) (g),0.0
82219,Majsgryn polenta,6872,"Pasta, ris, gryn",DHA (C22:6) (g),0.0
82220,Bröd surdegsbröd glutenfritt,6875,Bröd,DHA (C22:6) (g),0.0
82221,Bröd vitt tortilla glutenfritt,6878,Bröd,DHA (C22:6) (g),0.0
82222,Hårt bröd m. chiafrö glutenfritt fibrer ca 10%,6879,Bröd,DHA (C22:6) (g),0.0
82223,Hårt bröd m. sesamfrö glutenfritt fibrer ca 9%,6880,Bröd,DHA (C22:6) (g),0.0
82224,Bröd vitt osötat glutenfritt fibrer ca 7% typ ciabatta,6881,Bröd,DHA (C22:6) (g),0.0
82225,Sockerbetsfiber,6883,Övrigt,DHA (C22:6) (g),0.0
82226,Kex salta glutenfritt,6884,Bröd,DHA (C22:6) (g),0.0
82227,Chokladkaka chocolate chip cookie glutenfri,6886,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82228,Korv veg. sojaprotein kylvara el. frysvara typ grillkorv,6888,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82229,Korv veg. solrosprotein kylvara el. frysvara typ grillkorv,6889,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82230,Korv veg. solros- och ärtprotein kylvara el. frysvara typ grillkorv,6890,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
