,Livsmedelsnamn,Livsmedelsnummer,Gruppering,Näringsämne,Värde
104769,Kål stekt el. wokad,2617,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.07
104770,Blandfärs stekt tacokryddad,2650,Kött,Tiamin (mg),0.11
104771,Sojaprotein färs stekt tacokryddad,2651,"Quorn, sojaprotein, vegetariska produkter",Tiamin (mg),0.22
104772,Potatisgratäng kylvara,2658,Rätter,Tiamin (mg),0.03
104773,Ugnsrostade grönsaker rotfrukter,2672,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.05
104774,Lasagne m. mykoprotein,2679,Rätter,Tiamin (mg),0.04
104775,Kyckling färs stekt tacokryddad,2753,"Kyckling, fågel",Tiamin (mg),0.04
104776,Béchamelsås m. mjölk fett 3% grädde,2756,Rätter,Tiamin (mg),0.04
104777,Sushi veg.,2758,Rätter,Tiamin (mg),0.02
104778,Pannkaka tunn hemlagad,2769,,Tiamin (mg),0.05
104779,Grönsaksblandning m. ärtor bönor morot blomkål typ sommargrönsaker frysvara kokt m. salt,2774,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.05
104780,Grönsaksblandning ärter morot frysvara kokt m. salt,2775,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.11
104781,Rismål m. sylt,2808,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.02
104782,Rismål m. sylt u. socker m. sötningsm.,2809,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.03
104783,Nöt innanlår stekt,2826,Kött,Tiamin (mg),0.07
104784,Älgbiff stekt,2827,Kött,Tiamin (mg),0.09
104785,Kycklinggryta m. grädde/crème fraiche,2863,Rätter,Tiamin (mg),0.09
104786,Salt u. jod,2883,Smaksättare,Tiamin (mg),0.0
104787,Tiramisu,2886,,Tiamin (mg),0.03
104788,Blåbärspaj,2897,Rätter,Tiamin (mg),0.05
104789,Ost halloumi stekt eller grillad,2899,Pålägg,Tiamin (mg),0.02
104790,Köttgryta m. grädde/crème fraiche,2913,Rätter,Tiamin (mg),0.13
104791,Vilt färs stekt tacokryddad,2930,Kött,Tiamin (mg),0.29
104792,Lamm färs stekt tacokryddad,2931,Kött,Tiamin (mg),0.06
104793,Köttfärs stekt tacokryddad,2932,Kött,Tiamin (mg),0.18
104794,Vit fisk panerad och stekt,2943,"Fisk, skaldjur",Tiamin (mg),0.07
104795,Gryta fisk skaldjur m. grädde/crème fraiche,2949,Rätter,Tiamin (mg),0.08
104796,Fiskgratäng m. grönsaker,2950,Rätter,Tiamin (mg),0.07
104797,Godisklubba ,2963,Godis,Tiamin (mg),0.0
104798,Gräddsås,2965,Rätter,Tiamin (mg),0.03
104799,Skaldjurssås,2969,Rätter,Tiamin (mg),0.02
104800,Dressing hamburgerdressing,2973,Smaksättare,Tiamin (mg),0.04
104801,Gulaschsoppa,2977,Rätter,Tiamin (mg),0.04
104802,Fisksoppa skaldjurssoppa u. vin,2982,Rätter,Tiamin (mg),0.03
104803,Pannacotta,3008,Rätter,Tiamin (mg),0.03
104804,Paj m. ost,3009,Rätter,Tiamin (mg),0.04
104805,Paj m. grönsaker,3011,Rätter,Tiamin (mg),0.04
104806,Sill inlagd m. gräddfilssås,3035,"Fisk, skaldjur",Tiamin (mg),0.01
104807,Sill inlagd m. senapssås,3036,"Fisk, skaldjur",Tiamin (mg),0.03
104808,Hummus kikärtsröra,3051,Rätter,Tiamin (mg),0.11
104809,Muffins hembakad,3055,"Bullar, kakor, tårtor",Tiamin (mg),0.04
104810,Chokladmuffins hembakad,3056,"Bullar, kakor, tårtor",Tiamin (mg),0.04
104811,Sesamkakor sesamkex,3059,Snacks,Tiamin (mg),0.32
104812,Brända mandlar,3064,"Nötter, frön",Tiamin (mg),0.07
104813,Chilinötter,3069,"Nötter, frön",Tiamin (mg),0.5
104814,Pinjefrö,3071,"Nötter, frön",Tiamin (mg),0.49
104815,Bulgur kokt m. salt,3136,"Pasta, ris, gryn",Tiamin (mg),0.05
104816,Nötter blandade rostade m. salt,3139,"Nötter, frön",Tiamin (mg),1.14
104817,Nötter blandade naturella,3140,"Nötter, frön",Tiamin (mg),0.33
104818,Korv ren rå,3141,Korv,Tiamin (mg),0.23
104819,Lingonsylt lättsockrad,3147,"Sylt, marmelad, gelé, chutney",Tiamin (mg),0.02
104820,Korv lamm rå,3213,Korv,Tiamin (mg),0.1
104821,"Kvarg naturell fett 0,2%",3243,Mejeri,Tiamin (mg),0.04
104822,Brödkrutonger ,3247,Bröd,Tiamin (mg),0.62
104823,Nötter blandade m. frukt bär,3258,"Nötter, frön",Tiamin (mg),0.91
104824,Nötter blandade kanderade,3262,"Nötter, frön",Tiamin (mg),0.87
104825,Baklava ,3267,"Bullar, kakor, tårtor",Tiamin (mg),0.05
104826,Jordgubbssylt lättsockrad ,3281,"Sylt, marmelad, gelé, chutney",Tiamin (mg),0.01
104827,Nöt oxfilé stekt,3318,Kött,Tiamin (mg),0.08
104828,Älg färs rå,3323,Kött,Tiamin (mg),0.14
104829,Älg ytterlår,3324,Kött,Tiamin (mg),0.18
104830,Chips potatis naturell,3334,Snacks,Tiamin (mg),0.13
104831,Linfröolja,3433,"Fett, olja",Tiamin (mg),0.0
104832,Frukostflingor havre fullkorn typ Havrefras,3447,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.17
104833,Barnmat klämmis m. yoghurt banan jordgubb konserv.,3499,Övrigt,Tiamin (mg),0.01
104834,Sill inlagd olika smaker,3500,"Fisk, skaldjur",Tiamin (mg),0.0
104835,Quinoa röd kokt m. salt,3518,"Pasta, ris, gryn",Tiamin (mg),0.1
104836,Bananchips ,3522,"Frukt, bär",Tiamin (mg),0.03
104837,Bulgur kokt u. salt fullkorn,3564,"Pasta, ris, gryn",Tiamin (mg),0.1
104838,Äppelkaka hembakad typ Fyriskaka,3590,"Bullar, kakor, tårtor",Tiamin (mg),0.04
104839,Kladdkaka,3591,"Bullar, kakor, tårtor",Tiamin (mg),0.03
104840,Kyckling bröstfilé kokt u. skinn,3594,"Kyckling, fågel",Tiamin (mg),0.2
104841,Tahini,3602,Pålägg,Tiamin (mg),0.79
104842,Järpar fläskfärs stekta,3608,Rätter,Tiamin (mg),0.35
104843,Gris färs stekt tacokryddad,3609,Kött,Tiamin (mg),0.35
104844,Nöt färs stekt tacokryddad,3610,Kött,Tiamin (mg),0.04
104845,Blandfärs stekt m. salt,3618,Kött,Tiamin (mg),0.2
104846,Gris färs stekt m. salt fett 15%,3619,Kött,Tiamin (mg),0.64
104847,Lamm färs stekt m. salt,3620,Kött,Tiamin (mg),0.1
104848,Älg färs stekt m. salt,3621,Kött,Tiamin (mg),0.12
104849,Gris hamburgare färsspett hemlagad,3627,Rätter,Tiamin (mg),0.64
104850,Mykoprotein färs stekt tacokryddad,3661,"Quorn, sojaprotein, vegetariska produkter",Tiamin (mg),0.03
104851,Sojadryck berikad,3668,Mejeri,Tiamin (mg),0.03
104852,Lasagne m. sojafärs,3681,Rätter,Tiamin (mg),0.05
104853,Soygurt smaksatt eko. berikad,3710,Mejeri,Tiamin (mg),0.0
104854,Saftglögg,3733,Dryck,Tiamin (mg),0.0
104855,Couscous kokt m. salt fullkorn,3752,"Pasta, ris, gryn",Tiamin (mg),0.18
104856,Pasta kokt m. salt,3756,"Pasta, ris, gryn",Tiamin (mg),0.03
104857,Vita bönor torkade kokta m. salt,3760,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.13
104858,Stora vita bönor konserv. u. lag,3761,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.04
104859,Kikärtor torkade kokta m. salt,3762,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.11
104860,Sötpotatis rå,3765,Potatis,Tiamin (mg),0.04
104861,Sötpotatis ugnsstekt m. olja salt,3771,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.05
104862,Sötpotatis kokt m. salt,3772,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.03
104863,Dinkelmjöl fullkorn,3786,"Pasta, ris, gryn",Tiamin (mg),0.36
104864,Bröd rågsikt fibrer ca 7%,3790,Bröd,Tiamin (mg),0.27
104865,Bröd vitt fibrer ca 5% typ formfranska,3791,Bröd,Tiamin (mg),0.13
104866,Hårt bröd fullkorn råg fibrer ca 19% typ Rågi,3793,Bröd,Tiamin (mg),0.25
104867,Bröd fullkorn vete råg fibrer ca 6%,3794,Bröd,Tiamin (mg),0.18
104868,Bröd vitt fibrer ca 5% typ limpa,3795,Bröd,Tiamin (mg),0.17
104869,Bröd fullkorn råg fibrer ca 7%,3797,Bröd,Tiamin (mg),0.22
104870,Korvbröd grovt,3798,Bröd,Tiamin (mg),0.16
104871,Lax odlad Norge fjordlax rå över disk,3800,"Fisk, skaldjur",Tiamin (mg),0.26
104872,Kikärtor konserv. u. lag,3815,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.05
104873,Kidneybönor röda bönor konserv. u. lag,3816,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.08
104874,Svarta bönor konserv. u. lag,3817,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.08
104875,Hamburgerbröd,3818,Bröd,Tiamin (mg),0.11
104876,Bröd vitt mjölk fibrer ca 4% typ tekaka,3819,Bröd,Tiamin (mg),0.22
104877,Bruna bönor rullpack kylvara,3820,Rätter,Tiamin (mg),0.06
104878,Gröna linser torkade kokta m. salt,3821,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.1
104879,Röda linser torkade kokta m. salt,3822,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.24
104880,Röda linser konserv. u. lag,3823,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.04
104881,Gröna linser konserv. u. lag,3824,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.04
104882,Hamburgerbröd grovt,3825,Bröd,Tiamin (mg),0.18
104883,Pasta kokt m. salt fullkorn>50%,3828,"Pasta, ris, gryn",Tiamin (mg),0.08
104884,Ägg rått eko.,3840,"Ägg, rom, kaviar",Tiamin (mg),0.07
104885,Äggula rå eko.,3841,"Ägg, rom, kaviar",Tiamin (mg),0.21
104886,Dinkel speltvete kokt m. salt,3845,"Pasta, ris, gryn",Tiamin (mg),0.09
104887,Muffins m. frukt bär,3848,"Bullar, kakor, tårtor",Tiamin (mg),0.04
104888,Kycklingröra hemlagad,3852,Rätter,Tiamin (mg),0.1
104889,Smoothie m. frukt bär u. mjölk,3855,Dryck,Tiamin (mg),0.07
104890,Råkostsallad m. morot äpple paprika purjolök,3858,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.04
104891,Grönsaker rotfrukter stekta wokade,3859,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.05
104892,Rödbetssallad kylvara,3871,Rätter,Tiamin (mg),0.01
104893,Potatissallad kylvara,3872,Rätter,Tiamin (mg),0.04
104894,Skagenröra m. majonnäs kylvara,3873,Rätter,Tiamin (mg),0.02
104895,Kålrot stekt el. wokad,3899,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.06
104896,Mördegskaka,3919,"Bullar, kakor, tårtor",Tiamin (mg),0.06
104897,Huvudsallat,3938,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.15
104898,Majskrokar,4011,Snacks,Tiamin (mg),0.04
104899,Wasabi pasta,4025,Smaksättare,Tiamin (mg),0.05
104900,Frukt torkad m. socker,4026,"Frukt, bär",Tiamin (mg),0.0
104901,Korvgryta m. grönsaker,4037,Rätter,Tiamin (mg),0.11
104902,Vattenkastanj rå,4042,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.02
104903,Tranbär torkade,4049,"Frukt, bär",Tiamin (mg),0.0
104904,Mâchesallat,4052,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.03
104905,Hampafröolja,4074,"Fett, olja",Tiamin (mg),0.0
104906,Hushållsmargarin mjölkfri fett 80% berikad typ Milda,4095,"Fett, olja",Tiamin (mg),0.0
104907,Lättmargarin fett 40% berikad typ Coop,4105,"Fett, olja",Tiamin (mg),0.0
104908,Bordsmargarin fett 60% berikad typ Ica Basic,4107,"Fett, olja",Tiamin (mg),0.0
104909,Hushållsmargarin fett 80% berikad typ ICA,4112,"Fett, olja",Tiamin (mg),0.0
104910,Nudlar kokta m. kryddor,4117,Rätter,Tiamin (mg),0.3
104911,Grislever stekt m. salt,4123,"Lever, njure, tunga etc.",Tiamin (mg),0.27
104912,Lammlever stekt m. salt,4124,"Lever, njure, tunga etc.",Tiamin (mg),0.2
104913,Renlever stekt m. salt,4126,"Lever, njure, tunga etc.",Tiamin (mg),0.49
104914,Potatis Hasselbackspotatis bakad,4128,Potatis,Tiamin (mg),0.08
104915,Palmolja,4131,"Fett, olja",Tiamin (mg),0.0
104916,Ägg stekt eko.,4134,"Ägg, rom, kaviar",Tiamin (mg),0.06
104917,Ägg kokt eko.,4135,"Ägg, rom, kaviar",Tiamin (mg),0.06
104918,Crème fraichesås m. örtkryddor,4140,Rätter,Tiamin (mg),0.03
104919,Majskolv stekt grillad,4157,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.13
104920,Nudelwok m. kött grönsaker,4160,Rätter,Tiamin (mg),0.11
104921,Färs stekt m. salt,4183,Kött,Tiamin (mg),0.31
104922,Lax panerad stekt m. salt,4187,"Fisk, skaldjur",Tiamin (mg),0.21
104923,Pangasiusmal rå,4226,"Fisk, skaldjur",Tiamin (mg),0.02
104924,Kokosbaserad bit berikad som alternativ till ost,4227,"Quorn, sojaprotein, vegetariska produkter",Tiamin (mg),0.0
104925,Potatis Solist rå,4385,Potatis,Tiamin (mg),0.04
104926,Potatis Swift rå,4386,Potatis,Tiamin (mg),0.03
104927,Potatis Solist kokt m. salt,4415,Potatis,Tiamin (mg),0.03
104928,Potatis Swift kokt m. salt,4416,Potatis,Tiamin (mg),0.03
104929,Potatis Asterix rå,4445,Potatis,Tiamin (mg),0.08
104930,Nudlar risnudlar okokta,4447,"Pasta, ris, gryn",Tiamin (mg),0.03
104931,Nudlar risnudlar kokta,4448,"Pasta, ris, gryn",Tiamin (mg),0.02
104932,Havtorn,4456,"Frukt, bär",Tiamin (mg),0.18
104933,Potatis rå,4457,Potatis,Tiamin (mg),0.06
104934,Potatis kokt m. salt,4458,Potatis,Tiamin (mg),0.05
104935,Grönkålssallad,4504,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.08
104936,Kålrotslåda,4505,Rätter,Tiamin (mg),0.04
104937,Potatis färsk kokt m. salt,4511,Potatis,Tiamin (mg),0.03
104938,Potatis färsk rå,4512,Potatis,Tiamin (mg),0.04
104939,Potatis Inova rå,4513,Potatis,Tiamin (mg),0.06
104940,Potatis King Edward rå,4514,Potatis,Tiamin (mg),0.06
104941,Potatis mandelpotatis rå,4515,Potatis,Tiamin (mg),0.05
104942,Potatis kokt m. salt tillagad i storhushåll,4516,Potatis,Tiamin (mg),0.04
104943,Potatis Asterix kokt m. salt,4518,Potatis,Tiamin (mg),0.07
104944,Potatis Inova kokt m. salt,4519,Potatis,Tiamin (mg),0.04
104945,Potatis King Edward kokt m. salt,4520,Potatis,Tiamin (mg),0.05
104946,Potatis mandelpotatis kokt m. salt,4521,Potatis,Tiamin (mg),0.04
104947,Gratäng broccoligratäng m. cottage cheese tomat veg.,4579,Rätter,Tiamin (mg),0.04
104948,Gris färs rå fett 15%,4583,Kött,Tiamin (mg),0.73
104949,Hoki rå,4586,"Fisk, skaldjur",Tiamin (mg),0.03
104950,Aronia slånaronia,4588,"Frukt, bär",Tiamin (mg),0.02
104951,Vinbär vita,4589,"Frukt, bär",Tiamin (mg),0.04
104952,Ris rundkornigt kokt m. salt,4591,"Pasta, ris, gryn",Tiamin (mg),0.05
104953,Pilgrimsmussla,4600,"Fisk, skaldjur",Tiamin (mg),0.0
104954,Laxbullar tillagade m. sås,4601,Rätter,Tiamin (mg),0.02
104955,Fiskpinnar ugnsstekta,4602,"Fisk, skaldjur",Tiamin (mg),0.1
104956,Skarpsill,4607,"Fisk, skaldjur",Tiamin (mg),0.0
104957,Sill inlagd u. lag,4608,"Fisk, skaldjur",Tiamin (mg),0.0
104958,Sill höstsill inlagd u. lag,4609,"Fisk, skaldjur",Tiamin (mg),0.0
104959,Sill inlagd senapssill u. sås,4610,"Fisk, skaldjur",Tiamin (mg),0.0
104960,Kapkummel rå,4611,"Fisk, skaldjur",Tiamin (mg),0.05
104961,Guldsparid rå,4612,"Fisk, skaldjur",Tiamin (mg),0.26
104962,Havsabborre rå,4613,"Fisk, skaldjur",Tiamin (mg),0.38
104963,Alaska pollock rå,4615,"Fisk, skaldjur",Tiamin (mg),0.07
104964,Guldsparid grillad m. salt,4616,"Fisk, skaldjur",Tiamin (mg),0.26
104965,Havsabborre grillad m. salt,4617,"Fisk, skaldjur",Tiamin (mg),0.39
104966,Olivolja extra jungfruolja,4659,"Fett, olja",Tiamin (mg),0.0
104967,Rapsolja kallpressad,4661,"Fett, olja",Tiamin (mg),0.0
104968,Flytande matfettsblandning fett 80% berikad typ Arla smör- och rapsolja,4662,"Fett, olja",Tiamin (mg),0.0
104969,Matfettsblandning fett 43% berikad typ Bregott mindre,4663,"Fett, olja",Tiamin (mg),0.0
104970,Pastasås m. tonfisk curry,4736,Rätter,Tiamin (mg),0.05
104971,Tomat körsbärstomat röd,4937,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.05
104972,Tomat torkad m. olja avrunnen,4938,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.05
104973,Broccoli kokt u. salt frysvara,4939,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.04
104974,Spenat färsk,4941,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.11
104975,Mangold röd småbladig färsk,4942,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.04
104976,Kruksallat,4946,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.02
104977,Lök röd,4947,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.04
104978,Kantarell gul rå,5007,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.06
104979,Hjort kronhjort kött rå,5043,Kött,Tiamin (mg),0.19
104980,Hjort dovhjort färs rå,5044,Kött,Tiamin (mg),0.16
104981,Ren kött kallrökt rå,5045,Kött,Tiamin (mg),0.42
104982,Hjort skav rå,5046,Kött,Tiamin (mg),0.14
104983,Korv hjort rå,5047,Kött,Tiamin (mg),0.1
104984,Vildsvin bog rå,5048,Kött,Tiamin (mg),1.32
104985,Vildsvin filé rå,5049,Kött,Tiamin (mg),1.47
104986,Rådjur stek rå,5050,Kött,Tiamin (mg),0.31
104987,Vildsvin stek rå,5058,Kött,Tiamin (mg),1.64
104988,Korv kycklingkorv,5059,Korv,Tiamin (mg),0.06
104989,Vildsvin kött rå,5060,Kött,Tiamin (mg),1.48
104990,Rådjur bog rå,5064,Kött,Tiamin (mg),0.24
104991,Ren kött rå,5065,Kött,Tiamin (mg),0.32
104992,Nöt kött rå,5066,Kött,Tiamin (mg),0.08
104993,Lamm kött rå,5067,Kött,Tiamin (mg),0.18
104994,Lamm grytbitar rå,5068,Kött,Tiamin (mg),0.16
104995,Bordsmargarin fett 80% berikad typ Flora original,5085,"Fett, olja",Tiamin (mg),0.0
104996,Flytande matfettsblandning fett 80% berikad typ Ica raps- och smörolja,5087,"Fett, olja",Tiamin (mg),0.0
104997,Potatis höst kokt u. salt,5136,Potatis,Tiamin (mg),0.06
104998,Julmust påskmust,5147,Dryck,Tiamin (mg),0.0
104999,Slush drickf.,5149,Dryck,Tiamin (mg),0.0
105000,Mandeldryck berikad,5150,Dryck,Tiamin (mg),0.0
105001,Alkoläsk kolsyrad dryck vol. % 4-5,5152,Dryck,Tiamin (mg),0.0
105002,Potatis kokt u. salt,5153,Potatis,Tiamin (mg),0.05
105003,Lasagne m. svarta bönor veg. ,5155,Rätter,Tiamin (mg),0.04
105004,Tranbärsdryck drickf. berikad,5184,Dryck,Tiamin (mg),0.0
105005,Barngröt ätf. flerkorn m. frukt berikad,5188,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.12
105006,Barngröt ätf. m. fullkorn frukt bär berikad,5189,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.15
105007,Barngröt ätf. m. frukt berikad,5190,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.12
105008,Barngröt ätf. ris mjölkfri berikad,5191,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.21
105009,Barngröt ätf. m. fullkorn frukt müsli berikad,5192,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.14
105010,Barngröt ätf. m. yoghurt frukt berikad,5193,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.23
105011,Barngröt ätf. havre m. frukt berikad,5194,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.18
105012,Barngröt ätf. havre naturell berikad,5195,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.25
105013,Barngröt ätf. havre m. frukt bär berikad,5196,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.25
105014,Pepparsås,5218,Rätter,Tiamin (mg),0.04
105015,Saffransris,5305,Rätter,Tiamin (mg),0.01
105016,Ljus sås till fiskgratäng,5338,Rätter,Tiamin (mg),0.05
105017,Gris kött rå,5447,Kött,Tiamin (mg),0.79
105018,Gratäng zucchinigratäng m. kalvfärs,5452,Rätter,Tiamin (mg),0.07
105019,Toast m. ost skinka,5574,,Tiamin (mg),0.19
105020,Naturgodis olika sorter,5606,Godis,Tiamin (mg),0.11
105021,Pastagratäng m. kyckling,5665,"Kyckling, fågel",Tiamin (mg),0.05
105022,Tomatsås till pizza hemlagad,5726,Rätter,Tiamin (mg),0.11
105023,"Minimjölk fett < 0,1% berikad",5727,Mejeri,Tiamin (mg),0.04
105024,Örtagårdssås m. gräddfil,5753,Rätter,Tiamin (mg),0.04
105025,Köttfärssås Bolognese m. nötfärs bacon,5756,Rätter,Tiamin (mg),0.06
105026,Aioli,5758,Rätter,Tiamin (mg),0.03
105027,Guacamole,5759,Rätter,Tiamin (mg),0.06
105028,Pasta carbonara m. pasta fläsk grädde,5804,Rätter,Tiamin (mg),0.08
105029,Brownie,5833,"Bullar, kakor, tårtor",Tiamin (mg),0.06
105030,Fisk m. apelsin chili ugnsstekt,5837,Rätter,Tiamin (mg),0.07
105031,Pulled pork gris m. marinad tillagad,5847,Rätter,Tiamin (mg),0.44
105032,Tropisk juice drickf.,5859,Dryck,Tiamin (mg),0.02
105033,Sojabönor färska förvällda u. skal,5860,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.28
105034,Sparris grön kokt m. salt,5861,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.08
105035,Kålrot kokt,5862,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.05
105036,Brysselkål kokt,5863,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.08
105037,Rotselleri kokt,5864,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.04
105038,Gula ärtor kokta m. salt,5865,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.18
105039,Bruna bönor torkade kokta m. salt,5866,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.17
105040,Gråärtor kokta m. salt,5867,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.02
105041,Åkerbönor torkade kokta m. salt,5868,"Grönsaker, baljväxter, svamp",Tiamin (mg),0.17
105042,Äpple Aroma rött,5869,"Frukt, bär",Tiamin (mg),0.01
105043,Äpple Ingrid Marie rött,5870,"Frukt, bär",Tiamin (mg),0.01
105044,Äpple Frida,5871,"Frukt, bär",Tiamin (mg),0.01
105045,Äpple Golden delicious Granny Smith grönt,5872,"Frukt, bär",Tiamin (mg),0.01
105046,Kyckling pulled chicken tillagad m. marinad,5875,Rätter,Tiamin (mg),0.1
105047,Tacosås,5916,Rätter,Tiamin (mg),0.04
105048,Hälleflundra odlad Atlanten rå,5926,"Fisk, skaldjur",Tiamin (mg),0.07
105049,Korngryn kokt u. salt,5935,"Pasta, ris, gryn",Tiamin (mg),0.04
105050,Julmust light,5942,Dryck,Tiamin (mg),0.0
105051,"Havregurt naturell fett 2,2% berikad",5956,Mejeri,Tiamin (mg),0.0
105052,Fraiche m. havre veg. fett 15% berikad,5957,Mejeri,Tiamin (mg),0.04
105053,Havrebaserat bredbart pålägg naturell,5961,Pålägg,Tiamin (mg),0.04
105054,Havredryck m. apelsin mango,5963,Pålägg,Tiamin (mg),0.03
105055,Korv grillkorv grillad kött 32-35%,5965,Korv,Tiamin (mg),0.18
105056,Korv falukorv tillagad kött 58%,5966,Korv,Tiamin (mg),0.33
105057,Korv bratwurst tillagad kryddig kött 73-75%,5967,Korv,Tiamin (mg),0.35
105058,Blodpudding blodkorv tillagad,5968,Rätter,Tiamin (mg),0.09
105059,Gris sidfläsk el. stekfläsk rimmat stekt,5969,Kött,Tiamin (mg),0.62
105060,Korv kabanoss tillagad kryddig kött 90%,5970,Korv,Tiamin (mg),0.58
105061,Kryddblandning taco,5973,Smaksättare,Tiamin (mg),0.16
105062,Bröd vitt vetetortilla,5974,Bröd,Tiamin (mg),0.12
105063,Gris färs tillagad u. salt,5978,Kött,Tiamin (mg),0.95
105064,Te fermenterat m. socker,5979,Dryck,Tiamin (mg),0.0
105065,Gris skinka innanlår tillagad,5999,Kött,Tiamin (mg),1.27
105066,Gris skinkstek tillagad u. salt,6002,Kött,Tiamin (mg),1.19
105067,Gris ytterfilé tillagad,6003,Kött,Tiamin (mg),1.13
105068,Gris fläskkotlett tillagad,6004,Kött,Tiamin (mg),1.38
105069,Gris fläskfilé tillagad,6005,Kött,Tiamin (mg),1.56
105070,Nöt kalv lever tillagad,6006,"Lever, njure, tunga etc.",Tiamin (mg),0.22
105071,Kyckling lever ugnsstekt,6007,"Lever, njure, tunga etc.",Tiamin (mg),0.46
105072,Gris lever tillagad,6008,"Lever, njure, tunga etc.",Tiamin (mg),0.39
105073,Kalkon rökt tunna skivor,6009,Pålägg,Tiamin (mg),0.06
105074,Korv veg. soja- och veteprotein tillagad typ middagskorv,6010,"Quorn, sojaprotein, vegetariska produkter",Tiamin (mg),0.41
105075,Gratäng m. korv rotfrukt,6038,Rätter,Tiamin (mg),0.15
105076,Pastasås m. lax crème fraiche grädde dill,6052,Rätter,Tiamin (mg),0.13
105077,Cashewnötter rostade m. salt,6053,"Nötter, frön",Tiamin (mg),0.44
105078,Gris kassler tillagad,6057,Kött,Tiamin (mg),0.94
105079,Kyckling bröstfilé tillagad u. skinn frysvara,6058,"Kyckling, fågel",Tiamin (mg),0.19
105080,Drickyoghurt smaksatt fett ca 1%,6069,Mejeri,Tiamin (mg),0.03
105081,Ost hårdost eko. fett 28%,6070,Pålägg,Tiamin (mg),0.02
105082,Vaniljsås ätf.,6071,Rätter,Tiamin (mg),0.02
105083,Yoghurt naturell eko. fett 3% berikad,6076,Mejeri,Tiamin (mg),0.04
105084,Pannkaka tunn helfabrikat,6079,Rätter,Tiamin (mg),0.08
105085,Hårt bröd fullkorn råg fiber ca 20% typ sport ,6081,Bröd,Tiamin (mg),0.21
105086,Bröd vitt grovt m. nyckelhål typ formfranska,6083,Bröd,Tiamin (mg),0.21
105087,Bröd vitt typ levain,6084,Bröd,Tiamin (mg),0.14
105088,Frukostflingor müsli vete havre råg korn fullkorn m. frukt nötter fröer,6086,"Flingor, frukostflingor, müsli, gröt, välling",Tiamin (mg),0.19
105089,Mandelmjöl,6087,"Nötter, frön",Tiamin (mg),0.12
105090,Filmjölk eko. fett 3% berikad,6088,Mejeri,Tiamin (mg),0.04
105091,Kvarg drickf. olika smaker,6089,Mejeri,Tiamin (mg),0.04
105092,Kvarg smaksatt sötningsm.,6090,Mejeri,Tiamin (mg),0.04
